Plot,Herbivory,Coral_Id,Coral,percent_bleached,percent_dead,Date,Nutrients,catcat
A1,1x1,P11,Pver,0,0, Jul18,Ambient,Jul18_P11
A1,1x1,P16,Pver,0,0, Jul18,Ambient,Jul18_P16
A1,1x1,P9,Pver,0,0, Jul18,Ambient,Jul18_P9
A1,2x2,P13,Pver,0,0, Jul18,Ambient,Jul18_P13
A1,2x2,P8,Pver,0,0, Jul18,Ambient,Jul18_P8
A1,3x3,A3,Acr,0,0, Jul18,Ambient,Jul18_A3
A1,3x3,A4,Acr,0,0, Jul18,Ambient,Jul18_A4
A1,3x3,P12,Pver,0,0, Jul18,Ambient,Jul18_P12
A1,3x3,P8,Pver,0,0, Jul18,Ambient,Jul18_P8
A1,3x3,P9,Pver,0,0, Jul18,Ambient,Jul18_P9
A1,open,A1,Acr,0,0, Jul18,Ambient,Jul18_A1
A1,open,P12,Pver,0,0, Jul18,Ambient,Jul18_P12
A1,open,P8,Pver,0,0, Jul18,Ambient,Jul18_P8
A2,1x1,A2,Acr,0,0, Jul18,Nutrient,Jul18_A2
A2,1x1,P11,Pver,0,0, Jul18,Nutrient,Jul18_P11
A2,1x1,P17,Pver,0,0, Jul18,Nutrient,Jul18_P17
A2,2x2,P24,Pver,0,0, Jul18,Nutrient,Jul18_P24
A2,2x2,P9,Pver,0,0, Jul18,Nutrient,Jul18_P9
A2,3x3,A2,Acr,0,0, Jul18,Nutrient,Jul18_A2
A2,3x3,P20,Pver,0,0, Jul18,Nutrient,Jul18_P20
A2,3x3,P25,Pver,0,5, Jul18,Nutrient,Jul18_P25
A2,3x3,P6,Pver,0,0, Jul18,Nutrient,Jul18_P6
A2,open,A1,Acr,0,0, Jul18,Nutrient,Jul18_A1
A2,open,A2,Acr,0,0, Jul18,Nutrient,Jul18_A2
A2,open,P1,Pver,0,0, Jul18,Nutrient,Jul18_P1
A2,open,P19,Pver,0,0, Jul18,Nutrient,Jul18_P19
A2,open,P5,Pver,0,0, Jul18,Nutrient,Jul18_P5
B3,1x1,A3,Acr,0,0, Jul18,Nutrient,Jul18_A3
B3,1x1,P11,Pver,0,0, Jul18,Nutrient,Jul18_P11
B3,1x1,P13,Pver,0,20, Jul18,Nutrient,Jul18_P13
B3,1x1,P20,Pver,0,0, Jul18,Nutrient,Jul18_P20
B3,1x1,P21,Pver,0,0, Jul18,Nutrient,Jul18_P21
B3,1x1,P23,Pver,0,0, Jul18,Nutrient,Jul18_P23
B3,2x2,A1,Acr,0,0, Jul18,Nutrient,Jul18_A1
B3,2x2,P1,Pver,0,0, Jul18,Nutrient,Jul18_P1
B3,3x3,A2,Acr,0,0, Jul18,Nutrient,Jul18_A2
