Coral,Date,Classification,avg_rel_abund,Ratio_noendo,Ratio
Acr, Jul18,Endozoicomonadaceae,0.9960424,7.63E-02,2717.322301
Acr, Jul18,Other Beneficial,2.80E-05,7.63E-02,2717.322301
Acr, Jul18,Neutral/Unknown,0.000239198,7.63E-02,2717.322301
Acr, Jul18,Detrimental,0.000366563,7.63E-02,2717.322301
Acr, Nov18,Endozoicomonadaceae,0.9964273,0.487247182,2714.466116
Acr, Nov18,Other Beneficial,0.000178891,0.487247182,2714.466116
Acr, Nov18,Neutral/Unknown,0.000119015,0.487247182,2714.466116
Acr, Nov18,Detrimental,0.000367146,0.487247182,2714.466116
Acr, Mar19,Endozoicomonadaceae,0.8760275,5.33E-02,47.92957353
Acr, Mar19,Other Beneficial,0.000975375,5.33E-02,47.92957353
Acr, Mar19,Neutral/Unknown,0.001608557,5.33E-02,47.92957353
Acr, Mar19,Detrimental,0.01829774,5.33E-02,47.92957353
Acr, Aug19,Endozoicomonadaceae,0.8095519,2.65E-01,37.29097691
Acr, Aug19,Other Beneficial,0.005795546,2.65E-01,37.29097691
Acr, Aug19,Neutral/Unknown,0.005982087,2.65E-01,37.29097691
Acr, Aug19,Detrimental,0.02186447,2.65E-01,37.29097691
Acr, Nov19,Endozoicomonadaceae,0.9401929,0.095474831,119.0983618
Acr, Nov19,Other Beneficial,0.000754307,0.095474831,119.0983618
Acr, Nov19,Neutral/Unknown,0.001448657,0.095474831,119.0983618
Acr, Nov19,Detrimental,0.007900589,0.095474831,119.0983618
Acr, Mar20,Endozoicomonadaceae,0.9066353,1.15E+00,106.5311786
Acr, Mar20,Other Beneficial,0.00993318,1.15E+00,106.5311786
Acr, Mar20,Neutral/Unknown,0.001706089,1.15E+00,106.5311786
Acr, Mar20,Detrimental,0.008603758,1.15E+00,106.5311786
Acr, Aug20,Endozoicomonadaceae,0.9309429,8.59E-01,148.8889869
Acr, Aug20,Other Beneficial,0.005401774,8.59E-01,148.8889869
Acr, Aug20,Neutral/Unknown,0.002159793,8.59E-01,148.8889869
Acr, Aug20,Detrimental,0.006288878,8.59E-01,148.8889869
Plob, Jul18,Endozoicomonadaceae,0.9563401,0.02201944,120.8456552
Plob, Jul18,Other Beneficial,0.000174288,0.02201944,120.8456552
Plob, Jul18,Neutral/Unknown,0.005457874,0.02201944,120.8456552
Plob, Jul18,Detrimental,0.007915174,0.02201944,120.8456552
Plob, Nov18,Endozoicomonadaceae,0.2033382,4.69E-04,0.515867757
Plob, Nov18,Other Beneficial,0.000185198,4.69E-04,0.515867757
Plob, Nov18,Neutral/Unknown,0.000859784,4.69E-04,0.515867757
Plob, Nov18,Detrimental,0.3945263,4.69E-04,0.515867757
Plob, Mar19,Endozoicomonadaceae,0.1850361,5.07E-03,0.538644382
Plob, Mar19,Other Beneficial,0.001757746,5.07E-03,0.538644382
Plob, Mar19,Neutral/Unknown,0.02336227,5.07E-03,0.538644382
Plob, Mar19,Detrimental,0.3467851,5.07E-03,0.538644382
Plob, Aug19,Endozoicomonadaceae,0.1889734,1.080237456,1.763400927
Plob, Aug19,Other Beneficial,0.2988101,1.080237456,1.763400927
Plob, Aug19,Neutral/Unknown,0.02690242,1.080237456,1.763400927
Plob, Aug19,Detrimental,0.2766152,1.080237456,1.763400927
Plob, Nov19,Endozoicomonadaceae,0.6039197,4.18E-03,5.369681483
Plob, Nov19,Other Beneficial,0.000470169,4.18E-03,5.369681483
Plob, Nov19,Neutral/Unknown,0.02940289,4.18E-03,5.369681483
Plob, Nov19,Detrimental,0.112556,4.18E-03,5.369681483
Plob, Mar20,Endozoicomonadaceae,0.5031834,9.01E-01,4.022282578
Plob, Mar20,Other Beneficial,0.1451812,9.01E-01,4.022282578
Plob, Mar20,Neutral/Unknown,0.019507,9.01E-01,4.022282578
Plob, Mar20,Detrimental,0.1611932,9.01E-01,4.022282578
Plob, Aug20,Endozoicomonadaceae,0.507716,0.965085877,3.525787781
Plob, Aug20,Other Beneficial,0.1913497,0.965085877,3.525787781
Plob, Aug20,Neutral/Unknown,0.003227273,0.965085877,3.525787781
Plob, Aug20,Detrimental,0.1982722,0.965085877,3.525787781
Pver, Jul18,Endozoicomonadaceae,0.9977836,8.34E+00,15920.33939
Pver, Jul18,Other Beneficial,0.000522933,8.34E+00,15920.33939
Pver, Jul18,Neutral/Unknown,1.82E-05,8.34E+00,15920.33939
Pver, Jul18,Detrimental,6.27E-05,8.34E+00,15920.33939
Pver, Nov18,Endozoicomonadaceae,0.9984959,2.63E+00,14590.98617
Pver, Nov18,Other Beneficial,0.000180209,2.63E+00,14590.98617
Pver, Nov18,Neutral/Unknown,5.20E-05,2.63E+00,14590.98617
Pver, Nov18,Detrimental,6.84E-05,2.63E+00,14590.98617
Pver, Mar19,Endozoicomonadaceae,0.9841134,0.184469297,729.3399171
Pver, Mar19,Other Beneficial,0.000248971,0.184469297,729.3399171
Pver, Mar19,Neutral/Unknown,0.000542794,0.184469297,729.3399171
Pver, Mar19,Detrimental,0.001349662,0.184469297,729.3399171
Pver, Aug19,Endozoicomonadaceae,0.4931645,1.88E-01,8.760809519
Pver, Aug19,Other Beneficial,0.01082735,1.88E-01,8.760809519
Pver, Aug19,Neutral/Unknown,0.001766183,1.88E-01,8.760809519
Pver, Aug19,Detrimental,0.057528,1.88E-01,8.760809519
Pver, Nov19,Endozoicomonadaceae,0.9146745,2.02E+00,158.4292467
Pver, Nov19,Other Beneficial,0.01179803,2.02E+00,158.4292467
Pver, Nov19,Neutral/Unknown,0.000393561,2.02E+00,158.4292467
Pver, Nov19,Detrimental,0.005847863,2.02E+00,158.4292467
