"","Plot","Herbivory","Coral_Id","Coral","percent_bleached","percent_dead","Date","Nutrients","catcat"
"1","A1","1x1","P11","Pver",0,0,"Jul18","Ambient","Jul18_P11"
"2","A1","1x1","P16","Pver",0,0,"Jul18","Ambient","Jul18_P16"
"3","A1","1x1","P9","Pver",0,0,"Jul18","Ambient","Jul18_P9"
"4","A1","2x2","P13","Pver",0,0,"Jul18","Ambient","Jul18_P13"
"5","A1","2x2","P8","Pver",0,0,"Jul18","Ambient","Jul18_P8"
"6","A1","3x3","A3","Acr",0,0,"Jul18","Ambient","Jul18_A3"
"7","A1","3x3","A4","Acr",0,0,"Jul18","Ambient","Jul18_A4"
"8","A1","3x3","P12","Pver",0,0,"Jul18","Ambient","Jul18_P12"
"9","A1","3x3","P8","Pver",0,0,"Jul18","Ambient","Jul18_P8"
"10","A1","3x3","P9","Pver",0,0,"Jul18","Ambient","Jul18_P9"
"11","A1","open","A1","Acr",0,0,"Jul18","Ambient","Jul18_A1"
"12","A1","open","P12","Pver",0,0,"Jul18","Ambient","Jul18_P12"
"13","A1","open","P8","Pver",0,0,"Jul18","Ambient","Jul18_P8"
"14","A2","1x1","A2","Acr",0,0,"Jul18","Nutrient","Jul18_A2"
"15","A2","1x1","P11","Pver",0,0,"Jul18","Nutrient","Jul18_P11"
"16","A2","1x1","P17","Pver",0,0,"Jul18","Nutrient","Jul18_P17"
"17","A2","2x2","P24","Pver",0,0,"Jul18","Nutrient","Jul18_P24"
"18","A2","2x2","P9","Pver",0,0,"Jul18","Nutrient","Jul18_P9"
"19","A2","3x3","A2","Acr",0,0,"Jul18","Nutrient","Jul18_A2"
"20","A2","3x3","P20","Pver",0,0,"Jul18","Nutrient","Jul18_P20"
"21","A2","3x3","P25","Pver",0,5,"Jul18","Nutrient","Jul18_P25"
"22","A2","3x3","P6","Pver",0,0,"Jul18","Nutrient","Jul18_P6"
"23","A2","open","A1","Acr",0,0,"Jul18","Nutrient","Jul18_A1"
"24","A2","open","A2","Acr",0,0,"Jul18","Nutrient","Jul18_A2"
"25","A2","open","P1","Pver",0,0,"Jul18","Nutrient","Jul18_P1"
"26","A2","open","P19","Pver",0,0,"Jul18","Nutrient","Jul18_P19"
"27","A2","open","P5","Pver",0,0,"Jul18","Nutrient","Jul18_P5"
"28","B3","1x1","A3","Acr",0,0,"Jul18","Nutrient","Jul18_A3"
"29","B3","1x1","P11","Pver",0,0,"Jul18","Nutrient","Jul18_P11"
"30","B3","1x1","P13","Pver",0,20,"Jul18","Nutrient","Jul18_P13"
"31","B3","1x1","P20","Pver",0,0,"Jul18","Nutrient","Jul18_P20"
"32","B3","1x1","P21","Pver",0,0,"Jul18","Nutrient","Jul18_P21"
"33","B3","1x1","P23","Pver",0,0,"Jul18","Nutrient","Jul18_P23"
"34","B3","2x2","A1","Acr",0,0,"Jul18","Nutrient","Jul18_A1"
"35","B3","2x2","P1","Pver",0,0,"Jul18","Nutrient","Jul18_P1"
"36","B3","3x3","A2","Acr",0,0,"Jul18","Nutrient","Jul18_A2"
"37","B3","3x3","A3","Acr",0,0,"Jul18","Nutrient","Jul18_A3"
"38","B3","3x3","P2","Pver",0,0,"Jul18","Nutrient","Jul18_P2"
"39","B3","3x3","P9","Pver",0,0,"Jul18","Nutrient","Jul18_P9"
"40","B3","open","A1","Acr",0,0,"Jul18","Nutrient","Jul18_A1"
"41","B3","open","P10","Pver",0,0,"Jul18","Nutrient","Jul18_P10"
"42","B3","open","P21","Pver",0,0,"Jul18","Nutrient","Jul18_P21"
"43","B3","open","P28","Pver",0,0,"Jul18","Nutrient","Jul18_P28"
"44","B3","open","P5","Pver",0,0,"Jul18","Nutrient","Jul18_P5"
"45","B4","1x1","P11","Pver",0,0,"Jul18","Ambient","Jul18_P11"
"46","B4","1x1","P25","Pver",0,0,"Jul18","Ambient","Jul18_P25"
"47","B4","2x2","A2","Acr",0,0,"Jul18","Ambient","Jul18_A2"
"48","B4","2x2","A4","Acr",0,0,"Jul18","Ambient","Jul18_A4"
"49","B4","2x2","P7","Pver",0,0,"Jul18","Ambient","Jul18_P7"
"50","B4","3x3","A3","Acr",0,0,"Jul18","Ambient","Jul18_A3"
"51","B4","3x3","A7","Acr",0,0,"Jul18","Ambient","Jul18_A7"
"52","B4","3x3","P14","Pver",0,0,"Jul18","Ambient","Jul18_P14"
"53","B4","3x3","P2","Pver",0,0,"Jul18","Ambient","Jul18_P2"
"54","B4","3x3","P6","Pver",0,0,"Jul18","Ambient","Jul18_P6"
"55","B4","open","P13","Pver",0,0,"Jul18","Ambient","Jul18_P13"
"56","B4","open","P5","Pver",0,0,"Jul18","Ambient","Jul18_P5"
"57","C1","1x1","P20","Pver",0,0,"Jul18","Ambient","Jul18_P20"
"58","C1","1x1","P4","Pver",0,0,"Jul18","Ambient","Jul18_P4"
"59","C1","1x1","P5","Pver",0,3,"Jul18","Ambient","Jul18_P5"
"60","C1","2x2","A1","Acr",0,0,"Jul18","Ambient","Jul18_A1"
"61","C1","2x2","A4","Acr",0,0,"Jul18","Ambient","Jul18_A4"
"62","C1","2x2","P15","Pver",0,0,"Jul18","Ambient","Jul18_P15"
"63","C1","2x2","P16","Pver",0,0,"Jul18","Ambient","Jul18_P16"
"64","C1","2x2","P18","Pver",0,0,"Jul18","Ambient","Jul18_P18"
"65","C1","2x2","P3","Pver",0,0,"Jul18","Ambient","Jul18_P3"
"66","C1","3x3","A1","Acr",0,0,"Jul18","Ambient","Jul18_A1"
"67","C1","3x3","P13","Pver",0,0,"Jul18","Ambient","Jul18_P13"
"68","C1","open","P12","Pver",0,0,"Jul18","Ambient","Jul18_P12"
"69","C1","open","P18","Pver",0,0,"Jul18","Ambient","Jul18_P18"
"70","C1","open","P3","Pver",0,0,"Jul18","Ambient","Jul18_P3"
"71","C3","1x1","A2","Acr",0,0,"Jul18","Nutrient","Jul18_A2"
"72","C3","1x1","P20","Pver",0,0,"Jul18","Nutrient","Jul18_P20"
"73","C3","1x1","P7","Pver",0,0,"Jul18","Nutrient","Jul18_P7"
"74","C3","2x2","A1","Acr",0,0,"Jul18","Nutrient","Jul18_A1"
"75","C3","2x2","A3/Aret73","Acr",0,0,"Jul18","Nutrient","Jul18_A3/Aret73"
"76","C3","2x2","P17","Pver",0,0,"Jul18","Nutrient","Jul18_P17"
"77","C3","2x2","P22","Pver",0,0,"Jul18","Nutrient","Jul18_P22"
"78","C3","2x2","P23","Pver",0,10,"Jul18","Nutrient","Jul18_P23"
"79","C3","3x3","P15","Pver",0,0,"Jul18","Nutrient","Jul18_P15"
"80","C3","3x3","P19","Pver",0,0,"Jul18","Nutrient","Jul18_P19"
"81","C3","3x3","P24","Pver",0,0,"Jul18","Nutrient","Jul18_P24"
"82","C3","3x3","P3","Pver",0,0,"Jul18","Nutrient","Jul18_P3"
"83","C3","open","A1","Acr",0,0,"Jul18","Nutrient","Jul18_A1"
"84","C3","open","A6","Acr",0,0,"Jul18","Nutrient","Jul18_A6"
"85","C3","open","P11","Pver",0,0,"Jul18","Nutrient","Jul18_P11"
"86","C3","open","P12","Pver",0,0,"Jul18","Nutrient","Jul18_P12"
"87","C3","open","P13","Pver",0,0,"Jul18","Nutrient","Jul18_P13"
"88","C3","open","P15","Pver",0,0,"Jul18","Nutrient","Jul18_P15"
"89","D2","1x1","A1","Acr",0,0,"Jul18","Ambient","Jul18_A1"
"90","D2","1x1","A5","Acr",0,0,"Jul18","Ambient","Jul18_A5"
"91","D2","1x1","P15","Pver",0,0,"Jul18","Ambient","Jul18_P15"
"92","D2","1x1","P17","Pver",0,0,"Jul18","Ambient","Jul18_P17"
"93","D2","1x1","P2","Pver",0,0,"Jul18","Ambient","Jul18_P2"
